"United States",0.773,0.554,0.518,0.006,0.473,0.441,0.385,0.005,0.299,0.113,0.133,0.003
"Alabama",0.598,0.349,0.300,0.039,0.286,0.259,0.202,0.033,0.312,0.090,0.098,0.025
"Alaska",0.717,0.476,0.295,0.086,0.410,0.368,0.156,0.066,0.308,0.108,0.140,0.061
"Arizona",0.880,0.664,0.649,0.053,0.605,0.569,0.536,0.049,0.275,0.095,0.113,0.021
"Arkansas",0.611,0.368,0.360,0.050,0.309,0.278,0.273,0.046,0.301,0.091,0.087,0.020
"California",0.998,0.780,0.726,0.022,0.589,0.555,0.493,0.020,0.409,0.225,0.233,0.012
"Colorado",0.817,0.630,0.618,0.053,0.574,0.548,0.516,0.046,0.242,0.082,0.102,0.025
"Connecticut",0.784,0.573,0.672,0.067,0.404,0.375,0.385,0.059,0.380,0.197,0.287,0.043
"Delaware",0.979,0.773,0.565,0.095,0.697,0.662,0.401,0.074,0.282,0.111,0.164,0.046
"District of  Columbia",1.929,1.808,1.172,0.148,1.560,1.529,1.090,0.141,0.369,0.279,0.083,0.044
"Florida",0.884,0.654,0.576,0.029,0.598,0.562,0.460,0.027,0.286,0.091,0.116,0.012
"Georgia",0.832,0.595,0.456,0.036,0.525,0.492,0.366,0.031,0.307,0.102,0.090,0.014
"Hawaii",0.933,0.711,0.779,0.100,0.612,0.584,0.448,0.081,0.321,0.127,0.331,0.077
"Idaho",0.560,0.352,0.315,0.067,0.305,0.275,0.180,0.047,0.255,0.077,0.135,0.041
"Illinois",0.671,0.477,0.414,0.028,0.432,0.402,0.316,0.022,0.240,0.075,0.098,0.012
"Indiana",0.657,0.443,0.402,0.038,0.410,0.379,0.324,0.033,0.246,0.064,0.078,0.014
"Iowa",0.535,0.335,0.372,0.048,0.251,0.223,0.201,0.040,0.284,0.112,0.172,0.029
"Kansas",0.555,0.360,0.330,0.050,0.310,0.286,0.258,0.044,0.246,0.075,0.073,0.019
"Kentucky",0.673,0.418,0.405,0.041,0.376,0.341,0.317,0.039,0.297,0.077,0.088,0.021
"Louisiana",0.703,0.467,0.318,0.039,0.404,0.367,0.242,0.032,0.299,0.100,0.076,0.017
"Maine",0.970,0.710,0.774,0.109,0.687,0.637,0.596,0.094,0.283,0.073,0.178,0.046
"Maryland",0.788,0.581,0.485,0.048,0.506,0.474,0.365,0.041,0.282,0.108,0.121,0.021
"Mass",1.023,0.795,0.829,0.059,0.483,0.447,0.442,0.044,0.540,0.348,0.387,0.033
"Michigan",0.562,0.377,0.389,0.028,0.347,0.320,0.289,0.025,0.215,0.057,0.099,0.014
"Minnesota",0.657,0.489,0.602,0.040,0.450,0.425,0.475,0.039,0.207,0.064,0.127,0.018
"Mississippi",0.563,0.312,0.258,0.048,0.254,0.218,0.154,0.039,0.309,0.094,0.105,0.024
"Missouri",0.642,0.444,0.425,0.037,0.408,0.377,0.352,0.034,0.233,0.067,0.073,0.018
"Montana",0.560,0.329,0.401,0.100,0.293,0.259,0.235,0.063,0.267,0.070,0.166,0.075
"Nebraska",0.520,0.327,0.394,0.059,0.284,0.256,0.217,0.047,0.236,0.071,0.178,0.042
"Nevada",0.926,0.710,0.551,0.072,0.626,0.585,0.432,0.064,0.300,0.124,0.118,0.035
"New Hampshire",0.893,0.628,0.553,0.096,0.470,0.432,0.296,0.071,0.423,0.196,0.257,0.063
"New Jersey",0.750,0.525,0.494,0.044,0.418,0.387,0.343,0.035,0.332,0.138,0.151,0.019
"New Mexico",0.984,0.736,0.701,0.094,0.676,0.628,0.622,0.086,0.308,0.108,0.079,0.025
"New York",0.892,0.669,0.636,0.028,0.565,0.530,0.484,0.022,0.328,0.138,0.152,0.016
"North Carolina",0.728,0.489,0.474,0.033,0.434,0.403,0.371,0.030,0.293,0.086,0.102,0.015
"North Dakota",0.396,0.199,0.292,0.074,0.177,0.147,0.211,0.069,0.219,0.052,0.081,0.035
"Ohio",0.621,0.428,0.402,0.025,0.401,0.370,0.328,0.021,0.220,0.058,0.074,0.009
"Oklahoma",0.671,0.420,0.443,0.047,0.361,0.329,0.351,0.044,0.310,0.091,0.092,0.023
"Oregon",0.986,0.775,0.695,0.070,0.681,0.643,0.542,0.061,0.305,0.132,0.153,0.028
"Pennsylvania",0.670,0.445,0.438,0.028,0.413,0.381,0.317,0.023,0.256,0.064,0.121,0.012
"Rhode Island",0.886,0.673,0.885,0.155,0.568,0.530,0.709,0.148,0.318,0.143,0.176,0.054
"South Carolina",0.640,0.401,0.318,0.041,0.346,0.312,0.257,0.038,0.294,0.089,0.061,0.016
"South Dakota",0.431,0.222,0.181,0.063,0.202,0.167,0.056,0.033,0.229,0.054,0.125,0.055
"Tennessee",0.655,0.437,0.400,0.040,0.391,0.358,0.316,0.038,0.263,0.079,0.084,0.019
"Texas",0.756,0.520,0.493,0.024,0.457,0.426,0.387,0.021,0.298,0.094,0.105,0.010
"Utah",0.662,0.445,0.447,0.055,0.374,0.353,0.337,0.051,0.289,0.092,0.111,0.026
"Vermont",1.091,0.836,0.697,0.109,0.589,0.541,0.459,0.094,0.502,0.294,0.237,0.061
"Virginia",0.672,0.466,0.443,0.039,0.411,0.385,0.316,0.032,0.261,0.081,0.126,0.017
"Washington",0.927,0.725,0.632,0.048,0.642,0.608,0.521,0.045,0.285,0.117,0.112,0.017
"West Virginia",0.686,0.373,0.311,0.054,0.333,0.284,0.225,0.046,0.353,0.089,0.086,0.025
"Wisconsin",0.598,0.403,0.414,0.030,0.382,0.350,0.300,0.026,0.216,0.052,0.113,0.014
"Wyoming",0.506,0.290,0.175,0.069,0.244,0.211,0.167,0.069,0.262,0.079,0.008,0.009
,,,,,,,,,,,,
"Note: The standard error of the estimate, when multiplied by 1.645 and added to or substracted from",,,,,,,,,,,,
"the estimate, represents the 90-percent confidence interval around the estimate.",,,,,,,,,,,,
,,,,,,,,,,,,
"Source: Counts for the 2010 Census are from 2010 Census Summary File 1;  preferred estimates are from 2010 Census Summary File 1 using the methodology outlined in this paper;  2010 American Community Survey.",,,,,,,,,,,,
